"Date","Price","Open","High","Low","Change %"
"Mar 11","0.14770","0.14320","0.14810","0.13790","2.86%"
"Feb 11","0.14360","0.13890","0.14460","0.13510","3.24%"
"Jan 11","0.13910","0.15040","0.15220","0.13790","-7.94%"
"Dec 10","0.15110","0.14050","0.15250","0.13950","7.54%"
"Nov 10","0.14050","0.14200","0.14820","0.13830","-1.68%"
"Oct 10","0.14290","0.14310","0.14810","0.14010","-0.42%"
"Sep 10","0.14350","0.13530","0.14520","0.13440","5.90%"
"Aug 10","0.13550","0.13680","0.13960","0.13360","-1.09%"
"Jul 10","0.13700","0.13010","0.13740","0.12770","5.14%"
"Jun 10","0.13030","0.13000","0.13500","0.12640","0.00%"
"May 10","0.13030","0.13530","0.13620","0.12300","-3.77%"
"Apr 10","0.13540","0.13710","0.13910","0.13190","-1.31%"
"Mar 10","0.13720","0.12960","0.13810","0.12850","5.62%"
"Feb 10","0.12990","0.13120","0.13540","0.12590","-0.92%"
"Jan 10","0.13110","0.13500","0.13820","0.12870","-2.89%"
"Dec 09","0.13500","0.13490","0.13780","0.12670","0.00%"
"Nov 09","0.13500","0.12690","0.13700","0.12040","5.47%"
"Oct 09","0.12800","0.13200","0.13910","0.12580","-3.83%"
"Sep 09","0.13310","0.12840","0.13790","0.12530","3.58%"
"Aug 09","0.12850","0.12860","0.13050","0.12100","-0.23%"
"Jul 09","0.12880","0.12930","0.13150","0.11880","-0.39%"
"Jun 09","0.12930","0.12670","0.13110","0.11990","2.62%"
"May 09","0.12600","0.11790","0.12650","0.11300","6.60%"
"Apr 09","0.11820","0.10480","0.11890","0.10340","12.79%"
"Mar 09","0.10480","0.09880","0.10760","0.09280","5.86%"
"Feb 09","0.09900","0.09720","0.10530","0.09610","1.02%"
"Jan 09","0.09800","0.10420","0.10870","0.09510","-7.02%"
"Dec 08","0.10540","0.09920","0.10910","0.09290","7.11%"
"Nov 08","0.09840","0.10200","0.10600","0.09220","-3.81%"
"Oct 08","0.10230","0.12060","0.12180","0.08380","-15.24%"
"Sep 08","0.12070","0.12960","0.12990","0.11880","-7.01%"
"Aug 08","0.12980","0.13590","0.13950","0.12460","-4.84%"
"Jul 08","0.13640","0.12730","0.13740","0.12550","6.81%"
"Jun 08","0.12770","0.13080","0.13150","0.12190","-2.82%"
"May 08","0.13140","0.13180","0.13410","0.12800","-0.90%"
