"Date","Price","Open","High","Low","Change %"
"Jun 04","0.03440","0.03450","0.03450","0.03440","-0.29%"
"May 04","0.03450","0.03450","0.03470","0.03440","0.00%"
"Apr 04","0.03450","0.03510","0.03510","0.03450","-1.71%"
"Mar 04","0.03510","0.03510","0.03510","0.03500","0.00%"
"Feb 04","0.03510","0.03510","0.03510","0.03510","0.29%"
"Jan 04","0.03500","0.03500","0.03500","0.03500","2.34%"
"Dec 03","0.03420","0.03420","0.03420","0.03420","1.79%"
"Nov 03","0.03360","0.03360","0.03360","0.03360","0.60%"
"Oct 03","0.03340","0.03340","0.03340","0.03340","2.14%"
"Sep 03","0.03270","0.03270","0.03270","0.03270","-0.30%"
"Aug 03","0.03280","0.03280","0.03280","0.03280","-0.61%"
"Jul 03","0.03300","0.03300","0.03300","0.03300","0.00%"
"Jun 03","0.03300","0.03290","0.03300","0.03290","1.23%"
"May 03","0.03260","0.03260","0.03260","0.03260","1.56%"
"Apr 03","0.03210","0.03210","0.03210","0.03210","0.63%"
"Mar 03","0.03190","0.03180","0.03190","0.03180","0.63%"
"Feb 03","0.03170","0.03170","0.03170","0.03170","0.96%"
"Jan 03","0.03140","0.03140","0.03140","0.03140","0.32%"
"Dec 02","0.03130","0.03130","0.03130","0.03130","-0.32%"
"Nov 02","0.03140","0.03140","0.03140","0.03140","-0.32%"
"Oct 02","0.03150","0.03150","0.03150","0.03150","0.00%"
"Sep 02","0.03150","0.03150","0.03150","0.03150","-0.32%"
"Aug 02","0.03160","0.03160","0.03160","0.03160","-0.32%"
"Jul 02","0.03170","0.03170","0.03170","0.03170","0.00%"
"Jun 02","0.03170","0.03170","0.03170","0.03170","-0.63%"
"May 02","0.03190","0.03190","0.03190","0.03190","-0.31%"
"Apr 02","0.03200","0.03200","0.03200","0.03200","0.00%"
"Mar 02","0.03200","0.03200","0.03200","0.03200","-0.93%"
"Feb 02","0.03230","0.03230","0.03230","0.03230","-0.92%"
"Jan 02","0.03260","0.03260","0.03260","0.03260","-0.61%"
"Dec 01","0.03280","0.03280","0.03280","0.03280","-1.80%"
"Nov 01","0.03340","0.03340","0.03340","0.03340","-0.60%"
"Oct 01","0.03360","0.03360","0.03360","0.03360","-1.18%"
"Sep 01","0.03400","0.03390","0.03400","0.03390","0.00%"
"Aug 01","0.03400","0.03400","0.03400","0.03400","-0.29%"
"Jul 01","0.03410","0.03410","0.03410","0.03410","-0.58%"
"Jun 01","0.03430","0.03430","0.03430","0.03430","0.00%"
"May 01","0.03430","0.03430","0.03430","0.03430","-0.58%"
"Apr 01","0.03450","0.03450","0.03450","0.03450","-0.86%"
"Mar 01","0.03480","0.03470","0.03480","0.03470","-0.29%"
"Feb 01","0.03490","0.03490","0.03490","0.03490","-0.57%"
"Jan 01","0.03510","0.03510","0.03510","0.03510","0.29%"
"Dec 00","0.03500","0.03500","0.03500","0.03500","-2.23%"
"Nov 00","0.03580","0.03580","0.03580","0.03580","-0.28%"
"Oct 00","0.03590","0.03590","0.03590","0.03590","-0.28%"
"Sep 00","0.03600","0.03600","0.03600","0.03600","0.00%"
"Aug 00","0.03600","0.03600","0.03600","0.03600","0.28%"
"Jul 00","0.03590","0.03590","0.03590","0.03590","0.56%"
"Jun 00","0.03570","0.03560","0.03570","0.03560","0.85%"
"May 00","0.03540","0.03540","0.03540","0.03540","0.57%"
"Apr 00","0.03520","0.03510","0.03520","0.03510","0.86%"
"Mar 00","0.03490","0.03490","0.03490","0.03490","0.29%"
"Feb 00","0.03480","0.03480","0.03480","0.03480","-0.57%"
"Jan 00","0.03500","0.03490","0.03500","0.03490","-3.58%"
"Dec 99","0.03630","0.03610","0.03630","0.03610","-2.94%"
"Nov 99","0.03740","0.03740","0.03740","0.03740","-2.35%"
"Oct 99","0.03830","0.03830","0.03830","0.03830","-3.53%"
"Sep 99","0.03970","0.03960","0.03970","0.03960","-0.50%"
"Aug 99","0.03990","0.03990","0.03990","0.03990","-3.39%"
"Jul 99","0.04130","0.04120","0.04130","0.04120","0.00%"
"Jun 99","0.04130","0.04120","0.04130","0.04120","2.23%"
"May 99","0.04040","0.04040","0.04040","0.04040","0.00%"
"Apr 99","0.04040","0.04020","0.04040","0.04020","1.00%"
"Mar 99","0.04000","0.03990","0.04000","0.03990","-7.62%"
"Feb 99","0.04330","0.04300","0.04330","0.04300","0.00%"
"Jan 99","0.04330","0.04320","0.04330","0.04320","-6.68%"
"Dec 98","0.04640","0.04500","0.04640","0.04500","-14.39%"
"Nov 98","0.05420","0.05410","0.05420","0.05410","-9.52%"
"Oct 98","0.05990","0.05970","0.05990","0.05970","-4.01%"
"Sep 98","0.06240","0.06190","0.06240","0.06190","-37.97%"
"Aug 98","0.10060","0.09800","0.10060","0.09800","-36.81%"
"Jul 98","0.15920","0.15920","0.15920","0.15920","-0.81%"
"Jun 98","0.16050","0.16050","0.16050","0.16050","-0.99%"
"May 98","0.16210","0.16200","0.16210","0.16200","-0.67%"
"Apr 98","0.16320","0.16310","0.16320","0.16310","-0.49%"
"Mar 98","0.16400","0.16400","0.16400","0.16400","-0.79%"
"Feb 98","0.16530","0.16530","0.16530","0.16530","-0.06%"
"Jan 98","0.16540","0.16540","0.16540","0.16540","-0.84%"
"Dec 97","0.16680","0.16670","0.16680","0.16670","-1.07%"
"Nov 97","0.16860","0.16850","0.16860","0.16850","-0.59%"
"Oct 97","0.16960","0.16950","0.16960","0.16950","-0.64%"
"Sep 97","0.17070","0.17070","0.17070","0.17070","-0.35%"
"Aug 97","0.17130","0.17120","0.17130","0.17120","-0.46%"
"Jul 97","0.17210","0.17210","0.17210","0.17210","-0.69%"
"Jun 97","0.17330","0.17320","0.17330","0.17320","-0.06%"
"May 97","0.17340","0.17330","0.17340","0.17330","-0.12%"
"Apr 97","0.17360","0.17360","0.17360","0.17360","-0.52%"
"Mar 97","0.17450","0.17450","0.17450","0.17450","-0.80%"
"Feb 97","0.17590","0.17590","0.17590","0.17590","-0.85%"
"Jan 97","0.17740","0.17740","0.17740","0.17740","-0.84%"
"Dec 96","0.17890","0.17890","0.17890","0.17890","-1.27%"
"Nov 96","0.18120","0.18120","0.18120","0.18120","-1.09%"
"Oct 96","0.18320","0.18320","0.18320","0.18320","-0.97%"
"Sep 96","0.18500","0.18490","0.18500","0.18490","-0.80%"
"Aug 96","0.18650","0.18640","0.18650","0.18640","-2.81%"
"Jul 96","0.19190","0.19180","0.19190","0.19180","-1.84%"
"Jun 96","0.19550","0.19540","0.19550","0.19540","-1.56%"
"May 96","0.19860","0.19850","0.19860","0.19850","-1.39%"
"Apr 96","0.20140","0.20130","0.20140","0.20130","-2.04%"
"Mar 96","0.20560","0.20550","0.20560","0.20550","-0.63%"
"Feb 96","0.20690","0.20680","0.20690","0.20680","-1.90%"
